time	V(n002)
4.358946999229348e-003	-1.760346e+000
4.359230293479814e-003	-1.815597e+000
4.359585104611485e-003	-1.843953e+000
4.359923264368774e-003	-1.818414e+000
4.360479496569291e-003	-1.685888e+000
4.360836448123279e-003	-1.542838e+000
4.361249187008139e-003	-1.307450e+000
4.361816673180517e-003	-9.028640e-001
4.362369166442658e-003	-4.420192e-001
4.362966758539280e-003	1.034930e-001
4.363581845873254e-003	6.707932e-001
4.364250415835456e-003	1.244414e+000
4.364855333979965e-003	1.678073e+000
4.365477185598012e-003	1.987515e+000
4.366205945714391e-003	2.150121e+000
4.366883221828535e-003	2.094121e+000
4.367503572186870e-003	1.840746e+000
4.368299035991720e-003	1.276418e+000
4.369158822583982e-003	4.699422e-001
4.369799372694693e-003	-2.168654e-001
4.370465609617803e-003	-9.419926e-001
4.371144093806080e-003	-1.631795e+000
4.371432137973270e-003	-1.894575e+000
4.371562158985901e-003	-2.001122e+000
4.371741030550908e-003	-2.136711e+000
4.371840156307128e-003	-2.205571e+000
4.371964285464455e-003	-2.282073e+000
4.372212543779109e-003	-2.413212e+000
4.372468398594999e-003	-2.517035e+000
4.372791848895497e-003	-2.590963e+000
4.373264866476650e-003	-2.598476e+000
4.373711359739537e-003	-2.484400e+000
4.374362720567924e-003	-2.118378e+000
4.375020042460366e-003	-1.558319e+000
4.375636132247982e-003	-8.788274e-001
4.376268357955989e-003	-8.036135e-002
4.376909983727888e-003	7.640464e-001
4.377511361996858e-003	1.521704e+000
4.378113085852204e-003	2.180859e+000
4.378738074440586e-003	2.698872e+000
4.379397558271866e-003	3.016804e+000
4.380015311614619e-003	3.063723e+000
4.380658572225657e-003	2.833731e+000
4.381331013491770e-003	2.298580e+000
4.382195640395332e-003	1.283224e+000
4.382882218108303e-003	2.965356e-001
4.383477273272867e-003	-6.334316e-001
4.384087924447838e-003	-1.582429e+000
4.384413097414354e-003	-2.056003e+000
4.384739716654797e-003	-2.499099e+000
4.384830792467190e-003	-2.617326e+000
4.384895436318485e-003	-2.696259e+000
4.384976764740439e-003	-2.790173e+000
4.385037171413146e-003	-2.857496e+000
4.385102864748371e-003	-2.928333e+000
